"  Kiosk Name",Address,Longitude,Latitude,"Total Docks"
"10th & Osage","1005 Osage St",-105.00535,39.73231,15
"11th & Broadway","1085 Broadway St.",-104.98772,39.73395,11
"11th & Delaware","1095 Delaware St",-104.99302,39.73372,13
"11th & Emerson","900 E. 11th Ave",-104.97629,39.73361,11
"11th & Ogden","990 E. 11th Ave.",-104.97554,39.73361,11
"12th & Columbine","2504 East 12th Ave",-104.95728,39.73508,13
"12th & Sherman","1200 Sherman St.",-104.98469,39.7358,13
"1350 Larimer","1350 Larimer St.",-105.00029,39.74684,15
"13th & Marion","1279 Marion St",-104.97191,39.73662,15
"13th & Pearl","1291 Pearl Street",-104.98,39.73683,13
"13th & Speer","1301 Speer Blvd",-104.99674,39.73708,17
"1450 Wazee","1450 Wazee St",-105.00165,39.74997,15
"14th & Elati","1404 Elati St.",-104.99395,39.73862,11
"14th & Ogden","1425 Ogden St",-104.97514,39.73849,13
"14th & Stout","850 14th St.",-104.99567,39.74408,23
"14th & Welton","700 14th St.",-104.99391,39.74267,19
"1550 Glenarm","1550 Glenarm",-104.99107,39.74329,13
"1551 Lafayette","1551 Lafayette St",-104.97101,39.74078,17
"15th & Cleveland","101 West Colfax Avenue",-104.98863,39.74064,11
"15th & Curtis","1505 Curtis St",-104.99592,39.74641,15
"15th & Delgany","1515 Delgany St.",-105.00379,39.75244,7
"16th & Boulder","1615 Boulder St",-105.01042,39.75934,15
"16th & Broadway","1600 Broadway",-104.98686,39.74184,11
"16th & Chestnut","2051 16th St",-105.00373,39.75436,18
"16th & Little Raven","1600 Little Raven St.",-105.00488,39.75524,13
"16th & Platte","1601 Platte St",-105.00781,39.75723,19
"16th & Sherman","1612 Sherman St.",-104.98495,39.74191,13
"16th & Wynkoop","1651 Wynkoop St.",-105.0006,39.75225,21
"17th & Blake","1509 17th St.",-104.99814,39.75176,19
"17th & Curtis","950 17th St",-104.99339,39.74767,18
"17th & Downing","1100 East 17th Ave",-104.97333,39.74307,15
"17th & Franklin","1550 E 17th Ave",-104.96855,39.74304,14
"17th & Larimer","1260 17th St.",-104.99604,39.74984,15
"17th & Pearl","523 East 17th Ave",-104.98007,39.74336,17
"17th & Race","2001 East 17th Ave",-104.9634,39.74339,15
"17th & Tejon","2701 17th St.",-105.01098,39.76158,17
"17th & Wewatta","1700 Wewatta St",-105.00105,39.75387,30
"18th & Arapahoe","1099 18th St",-104.9931,39.74977,18
"18th & California","1701 California St.",-104.99003,39.747,11
"19th & Market","1899 Market St.",-104.99485,39.75262,15
"19th & Pearl","600 E. 19th Ave",-104.97954,39.7461,23
"19th & Wynkoop","1711 19th St.",-104.99694,39.75489,22
"1st & Broadway","99 Broadway St",-104.98774,39.71825,22
"2045 Franklin","2045 Franklin St.",-104.96851,39.74729,13
"20th & Chestnut","2095 Chestnut Place",-104.99819,39.75829,22
"21st & Lawrence","2091 Lawrence St.",-104.99073,39.75324,17
"21st & Market","1350 21st Street",-104.99206,39.75425,15
"22nd & Market","2200 Market St",-104.99078,39.75559,13
"22nd & Pennsylvania","525 E. 20th Ave",-104.98107,39.74763,15
"23rd & Clay","2301 Clay St",-105.0206,39.75137,13
"25th & Lawrence","2501 Lawrence St",-104.9855,39.757,9
"28th & Larimer","2751 Larimer St.",-104.98308,39.76042,9
